-1 1:29000000 2:0 3:20 4:2 5:2190 6:1095 7:100 8:0
-1 1:210000 2:0 3:12 4:2 5:150 6:100 7:12 8:0
-1 1:210000 2:0 3:2 4:2 5:150 6:180 7:12 8:0
-1 1:210000 2:0 3:12 4:0 5:150 6:180 7:12 8:0
-1 1:800000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
-1 1:200000 2:0 3:10 4:2 5:200 6:200 7:30 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:100 7:30 8:0
-1 1:1010 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:100100 2:0 3:24 4:4 5:200 6:300 7:14 8:0
-1 1:200000 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:500100 2:0 3:24 4:4 5:200 6:300 7:14 8:0
-1 1:1000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
-1 1:100000 2:0 3:12 4:2 5:100 6:120 7:82 8:0
-1 1:222200 2:0 3:12 4:2 5:100 6:120 7:85 8:0
-1 1:333300 2:0 3:12 4:2 5:100 6:120 7:70 8:0
-1 1:110000 2:0 3:3 4:2 5:100 6:120 7:60 8:0
-1 1:300000 2:0 3:3 4:100 5:200 6:250 7:50 8:0
-1 1:200000 2:0 3:3 4:30 5:150 6:180 7:70 8:0
-1 1:210000 2:0 3:2 4:20 5:150 6:180 7:62 8:0
-1 1:17 2:0 3:12 4:2 5:150 6:180 7:62 8:0
-1 1:2000 2:0 3:24 4:4 5:200 6:300 7:52 8:0
-1 1:17525 2:0 3:12 4:2 5:150 6:10 7:42 8:0
-1 1:40521 2:0 3:24 4:4 5:200 6:10 7:32 8:0
1 1:1500000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
1 1:200000 2:0 3:12 4:2 5:100 6:120 7:40 8:0
1 1:300000 2:0 3:12 4:2 5:100 6:120 7:40 8:0
1 1:100000 2:0 3:12 4:2 5:100 6:120 7:10 8:0
1 1:1100000 2:0 3:12 4:2 5:100 6:120 7:90 8:0
1 1:300000 2:0 3:12 4:2 5:200 6:250 7:82 8:0
1 1:200000 2:0 3:12 4:2 5:150 6:180 7:83 8:0
1 1:210000 2:0 3:12 4:2 5:150 6:180 7:102 8:0
1 1:1700000 2:0 3:12 4:2 5:150 6:180 7:62 8:0
1 1:400010 2:0 3:24 4:4 5:200 6:300 7:72 8:0
1 1:1550000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
1 1:205000 2:0 3:12 4:2 5:100 6:120 7:48 8:0
1 1:305000 2:0 3:12 4:2 5:100 6:120 7:46 8:0
1 1:105000 2:0 3:12 4:2 5:100 6:120 7:10 8:0
1 1:1150000 2:0 3:12 4:2 5:100 6:120 7:42 8:0
1 1:305000 2:0 3:12 4:2 5:200 6:250 7:10 8:0
1 1:205000 2:0 3:12 4:2 5:150 6:180 7:50 8:0
1 1:215000 2:0 3:12 4:2 5:150 6:180 7:65 8:0
1 1:175200 2:0 3:12 4:2 5:150 6:180 7:62 8:0
1 1:4052100 2:0 3:24 4:4 5:200 6:300 7:12 8:0
1 1:1502000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
1 1:2002000 2:0 3:12 4:2 5:100 6:120 7:43 8:0
1 1:3002000 2:0 3:12 4:2 5:100 6:120 7:54 8:0
1 1:1002000 2:0 3:12 4:2 5:100 6:120 7:63 8:0
1 1:1102000 2:0 3:12 4:2 5:100 6:120 7:69 8:0
1 1:300200 2:0 3:12 4:2 5:200 6:250 7:85 8:0
1 1:2002000 2:0 3:12 4:2 5:150 6:180 7:76 8:0
1 1:210400 2:0 3:12 4:2 5:150 6:180 7:65 8:0
1 1:1702000 2:0 3:12 4:2 5:150 6:180 7:74 8:0
1 1:400310 2:0 3:24 4:4 5:200 6:300 7:63 8:0
1 1:1554000 2:0 3:10 4:2 5:100 6:120 7:54 8:0
1 1:2055000 2:0 3:12 4:2 5:100 6:120 7:63 8:0
1 1:305300 2:0 3:12 4:2 5:100 6:120 7:67 8:0
1 1:1052000 2:0 3:12 4:2 5:100 6:120 7:105 8:0
1 1:1152000 2:0 3:12 4:2 5:100 6:120 7:95 8:0
1 1:305500 2:0 3:12 4:2 5:200 6:250 7:85 8:0
1 1:2052000 2:0 3:12 4:2 5:150 6:180 7:75 8:0
1 1:2152000 2:0 3:12 4:2 5:150 6:180 7:76 8:0
1 1:1752000 2:0 3:12 4:2 5:150 6:180 7:47 8:0
1 1:405210 2:0 3:24 4:4 5:200 6:300 7:45 8:0
1 1:305300 2:0 3:12 4:2 5:100 6:120 7:40 8:0
1 1:1052500 2:0 3:12 4:2 5:100 6:120 7:53 8:0
1 1:1152500 2:0 3:12 4:2 5:100 6:120 7:45 8:0
1 1:305550 2:0 3:12 4:2 5:200 6:250 7:74 8:0
1 1:205250 2:0 3:12 4:2 5:150 6:180 7:35 8:0
1 1:215250 2:0 3:12 4:2 5:150 6:180 7:45 8:0
1 1:1752500 2:0 3:12 4:2 5:150 6:180 7:40 8:0
1 1:405210 2:0 3:24 4:4 5:200 6:300 7:120 8:0
1 1:2500000 2:0 3:20 4:2 5:99 6:200 7:50 8:0
1 1:100000 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
1 1:100000 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
1 1:100000 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
1 1:100000 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
1 1:100000 2:0 3:5 4:2 5:99 6:1000.0 7:1 8:0
-1 1:0 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
-1 1:0 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
-1 1:0 2:0 3:20 4:2 5:99 6:1000.0 7:100 8:0
-1 1:0 2:0 3:20 4:2 5:99 6:0.0 7:100 8:0
-1 1:0 2:0 3:10 4:2 5:99 6:0.0 7:50 8:0
-1 1:1000 2:0 3:10 4:2 5:99 6:20.0 7:50 8:0
-1 1:2000 2:0 3:999 4:999 5:99 6:200.0 7:999 8:0
-1 1:1000000.0 2:0 3:2 4:0 5:4 6:1016.6666666666666 7:2 8:0
-1 1:1000000.0 2:0 3:2 4:0 5:4 6:1016.6666666666666 7:2 8:0
-1 1:1000000.0 2:0 3:2 4:0 5:4 6:1016.6666666666666 7:2 8:0
-1 1:2000 2:0 3:999 4:999 5:99 6:200.0 7:999 8:0
1 1:50000 2:0 3:5 4:2 5:99 6:1000.0 7:10 8:0
1 1:40000 2:0 3:5 4:2 5:99 6:1000.0 7:10 8:0
1 1:45000 2:0 3:5 4:2 5:99 6:1000.0 7:15 8:0
1 1:55000 2:0 3:5 4:2 5:99 6:1000.0 7:20 8:0
1 1:65000 2:0 3:5 4:2 5:99 6:1000.0 7:20 8:0
1 1:70000 2:0 3:5 4:2 5:99 6:1000.0 7:20 8:0
1 1:50000 2:0 3:5 4:2 5:99 6:500.0 7:10 8:0
1 1:40000 2:0 3:5 4:2 5:99 6:500.0 7:10 8:0
1 1:45000 2:0 3:5 4:2 5:99 6:500.0 7:15 8:0
1 1:55000 2:0 3:5 4:2 5:99 6:500.0 7:20 8:0
1 1:65000 2:0 3:5 4:2 5:99 6:500.0 7:20 8:0
1 1:70000 2:0 3:5 4:2 5:99 6:500.0 7:20 8:0
-1 1:0 2:0 3:0 4:0 5:0 6:500.0 7:30 8:0
-1 1:0 2:0 3:0 4:0 5:99 6:0 7:1000 8:0
-1 1:0 2:0 3:0 4:0 5:99 6:0 7:1000 8:0
-1 1:0 2:0 3:0 4:0 5:99 6:0 7:1000 8:0
